url,name,description,homepage,forks,stars,issues,subscribers_count,watchers_count,created_at
https://api.github.com/repos/elbaruni/clarity-to-do-list,clarity-to-do-list,,,0,0,,1,0,2020-05-29 16:56:33
https://api.github.com/repos/emmaodia/clarity-counter,clarity-counter,,,0,0,,1,0,2020-05-23 13:54:26
https://api.github.com/repos/hozzjss/clarity-tip-calculator,clarity-tip-calculator,A tip calculator by blockstack's clarity,,0,0,,1,0,2020-05-26 13:59:51
https://api.github.com/repos/KevinGConyers/Change-Vote,Change-Vote,,,0,0,,1,0,2020-05-24 16:53:57
https://api.github.com/repos/kuoyehs/clarity-sayhi,clarity-sayhi,,,0,0,,1,0,2020-05-28 18:03:44
https://api.github.com/repos/liyunarena/clarity-say-yo,clarity-say-yo,,,0,0,,1,0,2020-05-28 18:22:55
https://api.github.com/repos/m1ke98/Clarity-Smart-Contract,Clarity-Smart-Contract,A basic clarity smart contract.,,0,0,,1,0,2020-05-26 22:23:32
https://api.github.com/repos/xmakina/clarity-high-score,clarity-high-score,Submission to Clarity Hackathon Level 0,https://gitcoin.co/issue/blockstack/hackathons/1/4354,0,0,,0,0,2020-05-15 06:14:30
https://api.github.com/repos/sprect8/morning-clarity,morning-clarity,Smart Contract Alarm using Clarity Programming Language,,0,0,,1,0,2020-05-30 03:21:01
https://api.github.com/repos/jpnorair/clarity-hacks-basics,clarity-hacks-basics,Fun game of growing and eating avocados,,0,0,,1,0,2020-05-29 05:06:36
https://api.github.com/repos/friedger/clarity-js-sdk,clarity-js-sdk,Javascript SDK for interacting with Clarity smart contracts,https://docs.blockstack.org/core/smart/overview.html,1,1,,1,1,2020-03-31 13:16:37
https://api.github.com/repos/friedger/clarity-smart-contracts,clarity-smart-contracts,Collection of Smart Contract for Stacks Blockchain in Clarity,,7,11,,2,11,2019-07-10 12:49:25
https://api.github.com/repos/viraja1/blockstack_oracle,blockstack_oracle,,,0,3,,1,3,2020-06-30 17:40:01
https://api.github.com/repos/ltfschoen/blockstack,blockstack,Blockstack Clarity Hackathon,,1,0,,1,0,2020-06-20 12:03:29
https://api.github.com/repos/blockstack/stacks-blockchain,stacks-blockchain,The Stacks 2.0 blockchain implementation,http://docs.blockstack.org,376,2119,,179,2119,2014-09-23 14:40:43
https://api.github.com/repos/realChainLife/assure-manager,assure-manager,Clarity smart contract for Assure browser extension,,0,0,,1,0,2020-05-20 17:56:28
